IdUnidade,Sigla,Descricao,SinProtocolo,SinArquivamento,SinOuvidoria
110004198,ADAPI-PI/DG/DTO/USAVANB,Unidade de Sanidade Animal e Vegetal de Anísio de Abreu - ADAPI-PI,N,N,N
110004199,ADAPI-PI/DG/DTO/USAVANB/CRC,Escritório de Atendimento à Comunidade de Caracol - ADAPI-PI,N,N,N
110004200,ADAPI-PI/DG/DTO/USAVANB/SBR,Escritório de Atendimento à Comunidade de São Brás - ADAPI-PI,N,N,N
110004201,ADAPI-PI/DG/DTO/USAVANB/VBR,Escritório de Atendimento à Comunidade de Várzea Branca - ADAPI-PI,N,N,N
110002060,ADAPI-PI/DG/GAB,Gabinete Geral - ADAPI-PI,N,N,N
110004368,ADAPI-PI/DG/GAB/SECR,Secretaria - ADAPI-PI,N,N,N
110002061,ADAPI-PI/DG/PJ,Procuradoria Jurídica - ADAPI-PI,N,N,N
110004206,ADAPI-PI/DTO/GEDA/USAVALT/ALG,Escritório de Atendimento à Comunidade de Alto Longá - ADAPI-PI,N,N,N
110004203,ADAPI-PI/DTO/GEDA/USAVALT/BNT,Escritório de Atendimento à Comunidade de Beneditinos - ADAPI-PI,N,N,N
110004205,ADAPI-PI/DTO/GEDA/USAVALT/CVR,Escritório de Atendimento à Comunidade de Coivaras - ADAPI-PI,N,N,N
110004207,ADAPI-PI/DTO/GEDA/USAVALT/NSA,Escritório de Atendimento à Comunidade de Novo Santo Antonio - ADAPI-PI,N,N,N
110004204,ADAPI-PI/DTO/GEDA/USAVALT/PDC,Escritório de Atendimento à Comunidade de Pau Darco - ADAPI-PI,N,N,N
110004197,ADAPI-PI/DTO/GEDA/USAVAMA/ANG,Escritório de Atendimento à Comunidade de Angical - ADAPI-PI,N,N,N
110004195,ADAPI-PI/DTO/GEDA/USAVAMA/FCA,Escritório de Atendimento à Comunidade de Francisco Ayres - ADAPI-PI,N,N,N
110004196,ADAPI-PI/DTO/GEDA/USAVAMA/REG,Escritório de Atendimento à Comunidade de Regeneração - ADAPI-PI,N,N,N
110004218,ADAPI-PI/DTO/GEDA/USAVBAR/CPL,Escritório de Atendimento à Comunidade de Campo Largo - ADAPI-PI,N,N,N
110004220,ADAPI-PI/DTO/GEDA/USAVBAR/NSRM,Escritório de Atendimento à Comunidade de Nossa Senhora dos Remédios - ADAPI-PI,N,N,N
110004219,ADAPI-PI/DTO/GEDA/USAVBAR/POR,Escritório de Atendimento à Comunidade de Porto - ADAPI-PI,N,N,N
110004210,ADAPI-PI/DTO/GEDA/USAVBERT/CNV,Escritório de Atendimento à Comunidade de Canavieira - ADAPI-PI,N,N,N
110004211,ADAPI-PI/DTO/GEDA/USAVBERT/COG,Escritório de Atendimento à Comunidade de Colônia do Gurguéia - ADAPI-PI,N,N,N
110004213,ADAPI-PI/DTO/GEDA/USAVBERT/LDR,Escritório de Atendimento à Comunidade Landri Sales - ADAPI-PI,N,N,N
110004212,ADAPI-PI/DTO/GEDA/USAVBERT/MNE,Escritório de Atendimento à Comunidade Manoel Emídio - ADAPI-PI,N,N,N
110004209,ADAPI-PI/DTO/GEDA/USAVBERT/SBL,Escritório de Atendimento à Comunidade de Sebastião Leal - ADAPI-PI,N,N,N
110004224,ADAPI-PI/DTO/GEDA/USAVBJ/ALVGU,Escritório de Atendimento à Comunidade de Alvorada do Gurguéia - ADAPI-PI,N,N,N
110004225,ADAPI-PI/DTO/GEDA/USAVBJ/CRC,Escritório de Atendimento à Comunidade de Cristino Castro - ADAPI-PI,N,N,N
